2014-12-18 00:59:38,752 미세 reef.runtime.common.Launcher.main main | Launcher started with user name [puppybit]
2014-12-18 00:59:40,093 보다 미세 reef.wake.remote.transport.netty.NettyServerEventListener.channelActive org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportServerWorker-pool-8-thread-1 | Add connected channel ref: org.apache.reef.wake.remote.transport.netty.LinkReference@41b3db9c
2014-12-18 00:59:40,171 가장 미세 reef.wake.remote.transport.netty.AbstractNettyEventListener.channelRead org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportServerWorker-pool-8-thread-1 | MessageEvent: local: /192.168.0.11:10460 remote: /192.168.0.11:37928 :: [B@685461f1
2014-12-18 00:59:40,181 미세 reef.io.network.naming.NameServer.register org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportServerWorker-pool-8-thread-1 | id: Pregel addr: /192.168.0.11:14644
2014-12-18 00:59:40,188 가장 미세 reef.wake.remote.transport.netty.NettyLink.write org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportServerWorker-pool-8-thread-1 | write [id: 0xf2682514, /192.168.0.11:37928 => /192.168.0.11:10460] [B@1b6301f4
2014-12-18 00:59:40,190 가장 미세 reef.wake.remote.transport.netty.AbstractNettyEventListener.channelRead org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportClientWorker-pool-15-thread-1 | MessageEvent: local: /192.168.0.11:37928 remote: /192.168.0.11:10460 :: [B@76ba6e80
2014-12-18 00:59:40,191 미세 reef.io.network.naming.NamingClientEventHandler.onNext org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportClientWorker-pool-15-thread-1 | Transport: 
2014-12-18 00:59:40,194 가장 미세 reef.io.network.impl.NetworkService$1.onNext SingleThreadStage<NameServiceRegisterer> | Registered Pregel with nameservice
2014-12-18 00:59:40,388 미세 hadoop.metrics2.lib.MutableMetricsFactory.newForField main | field org.apache.hadoop.metrics2.lib.MutableRate org.apache.hadoop.security.UserGroupInformation$UgiMetrics.loginSuccess with annotation @org.apache.hadoop.metrics2.annotation.Metric(value=[Rate of successful kerberos logins and latency (milliseconds)], about=, valueName=Time, type=DEFAULT, always=false, sampleName=Ops)
2014-12-18 00:59:40,400 미세 hadoop.metrics2.lib.MutableMetricsFactory.newForField main | field org.apache.hadoop.metrics2.lib.MutableRate org.apache.hadoop.security.UserGroupInformation$UgiMetrics.loginFailure with annotation @org.apache.hadoop.metrics2.annotation.Metric(value=[Rate of failed kerberos logins and latency (milliseconds)], about=, valueName=Time, type=DEFAULT, always=false, sampleName=Ops)
2014-12-18 00:59:40,401 미세 hadoop.metrics2.lib.MutableMetricsFactory.newForField main | field org.apache.hadoop.metrics2.lib.MutableRate org.apache.hadoop.security.UserGroupInformation$UgiMetrics.getGroups with annotation @org.apache.hadoop.metrics2.annotation.Metric(value=[GetGroups], about=, valueName=Time, type=DEFAULT, always=false, sampleName=Ops)
2014-12-18 00:59:40,403 미세 hadoop.metrics2.impl.MetricsSystemImpl.register main | UgiMetrics, User and group related metrics
2014-12-18 00:59:40,625 미세 hadoop.security.Groups.getUserToGroupsMappingService main |  Creating new Groups object
2014-12-18 00:59:40,628 미세 hadoop.util.NativeCodeLoader.<clinit> main | Trying to load the custom-built native-hadoop library...
2014-12-18 00:59:40,629 미세 hadoop.util.NativeCodeLoader.<clinit> main | Failed to load native-hadoop with error: java.lang.UnsatisfiedLinkError: no hadoop in java.library.path
2014-12-18 00:59:40,629 미세 hadoop.util.NativeCodeLoader.<clinit> main | java.library.path=/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib
2014-12-18 00:59:40,630 경고 hadoop.util.NativeCodeLoader.<clinit> main | Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2014-12-18 00:59:40,631 미세 hadoop.security.JniBasedUnixGroupsMappingWithFallback.<init> main | Falling back to shell based
2014-12-18 00:59:40,632 미세 hadoop.security.JniBasedUnixGroupsMappingWithFallback.<init> main | Group mapping impl=org.apache.hadoop.security.ShellBasedUnixGroupsMapping
2014-12-18 00:59:40,641 미세 hadoop.util.Shell.isSetsidSupported main | setsid exited with exit code 0
2014-12-18 00:59:40,642 미세 hadoop.security.Groups.<init> main | Group mapping impl=org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback; cacheTimeout=300000; warningDeltaMs=5000
2014-12-18 00:59:40,647 미세 hadoop.security.UserGroupInformation.login main | hadoop login
2014-12-18 00:59:40,648 미세 hadoop.security.UserGroupInformation.commit main | hadoop login commit
2014-12-18 00:59:40,652 미세 hadoop.security.UserGroupInformation.commit main | using local user:UnixPrincipal: puppybit
2014-12-18 00:59:40,656 미세 hadoop.security.UserGroupInformation.loginUserFromSubject main | UGI loginUser:puppybit (auth:SIMPLE)
2014-12-18 00:59:40,819 미세 hadoop.hdfs.BlockReaderLocal.<init> main | dfs.client.use.legacy.blockreader.local = false
2014-12-18 00:59:40,820 미세 hadoop.hdfs.BlockReaderLocal.<init> main | dfs.client.read.shortcircuit = false
2014-12-18 00:59:40,821 미세 hadoop.hdfs.BlockReaderLocal.<init> main | dfs.client.domain.socket.data.traffic = false
2014-12-18 00:59:40,822 미세 hadoop.hdfs.BlockReaderLocal.<init> main | dfs.domain.socket.path = 
2014-12-18 00:59:40,872 미세 hadoop.io.retry.RetryUtils.getDefaultRetryPolicy main | multipleLinearRandomRetry = null
2014-12-18 00:59:40,918 미세 hadoop.ipc.Server.registerProtocolEngine main | rpcKind=RPC_PROTOCOL_BUFFER, rpcRequestWrapperClass=class org.apache.hadoop.ipc.ProtobufRpcEngine$RpcRequestWrapper, rpcInvoker=org.apache.hadoop.ipc.ProtobufRpcEngine$Server$ProtoBufRpcInvoker@57b15f3
2014-12-18 00:59:40,924 미세 hadoop.ipc.Client.getClient main | getting client out of cache: org.apache.hadoop.ipc.Client@4c6c4f01
2014-12-18 00:59:41,206 미세 hadoop.hdfs.BlockReaderLocal.<init> main | Both short-circuit local reads and UNIX domain socket are disabled.
2014-12-18 00:59:41,231 미세 hadoop.mapred.FileInputFormat.listStatus main | Time taken to get FileStatuses: 6
2014-12-18 00:59:41,231 정보 hadoop.mapred.FileInputFormat.listStatus main | Total input paths to process : 1
2014-12-18 00:59:41,239 미세 hadoop.mapred.FileInputFormat.getSplits main | Total # of splits generated by getSplits: 2, TimeTaken: 18
2014-12-18 00:59:41,239 가장 미세 reef.io.data.loading.impl.InputFormatLoadingService.<init> main | Splits: [file:/home/puppybit/Workspace/reef-pregel/bin/dataset1:0+3658, file:/home/puppybit/Workspace/reef-pregel/bin/dataset1:3658+3659]
2014-12-18 00:59:41,240 미세 reef.io.data.loading.impl.InputFormatLoadingService.<init> main | Number of partitions: 2
2014-12-18 00:59:41,242 미세 reef.io.data.loading.impl.EvaluatorToPartitionMapper.<init> main | Processing split: 0
2014-12-18 00:59:41,243 미세 reef.io.data.loading.impl.EvaluatorToPartitionMapper.<init> main | Processing split: 1
2014-12-18 00:59:41,244 미세 reef.io.data.loading.impl.EvaluatorToPartitionMapper.<init> main | localhost: [InputSplit-0, InputSplit-1]
2014-12-18 00:59:41,246 보다 미세 GroupCommDriverImpl.newCommunicationGroup main | ENTRY CommunicationGroup 3
2014-12-18 00:59:41,252 가장 미세 reef.io.network.nggroup.impl.utils.CountingSemaphore.<init> main | Counter initialized to 3
2014-12-18 00:59:41,255 보다 미세 GroupCommMessageHandler.addHandler main | ENTRY CommunicationGroup com.microsoft.reef.io.network.nggroup.impl.utils.BroadcastingEventHandler@7116e8cf
2014-12-18 00:59:41,256 보다 미세 GroupCommMessageHandler.addHandler main | RETURN CommunicationGroup
2014-12-18 00:59:41,257 보다 미세 GroupCommDriverImpl.newCommunicationGroup main | RETURN Created communication group: CommunicationGroup
2014-12-18 00:59:41,260 보다 미세 CommunicationGroupDriverImpl.addBroadcast main | ENTRY CommunicationGroup -  CtrlSyncBroadcast Broadcast Operator Spec: [sender=ControllerTask] [dataCodecClass=SerializableCodec]
2014-12-18 00:59:41,264 구성 reef.io.network.nggroup.impl.driver.TreeTopology.<init> main | CommunicationGroup:CtrlSyncBroadcast - Tree Topology running with a fan-out of 2
2014-12-18 00:59:41,265 보다 미세 TreeTopology.setRootTask main | ENTRY CommunicationGroup:CtrlSyncBroadcast -  ControllerTask
2014-12-18 00:59:41,265 보다 미세 TreeTopology.setRootTask main | RETURN CommunicationGroup:CtrlSyncBroadcast - ControllerTask
2014-12-18 00:59:41,265 보다 미세 TreeTopology.setOperSpec main | ENTRY CommunicationGroup:CtrlSyncBroadcast -  Broadcast Operator Spec: [sender=ControllerTask] [dataCodecClass=SerializableCodec]
2014-12-18 00:59:41,266 보다 미세 TreeTopology.setOperSpec main | RETURN CommunicationGroup:CtrlSyncBroadcast - Broadcast Operator Spec: [sender=ControllerTask] [dataCodecClass=SerializableCodec]
2014-12-18 00:59:41,266 보다 미세 CommunicationGroupDriverImpl.addBroadcast main | RETURN [CommunicationGroup - , CtrlSyncBroadcast,  added]
2014-12-18 00:59:41,269 보다 미세 CommunicationGroupDriverImpl.addReduce main | ENTRY CommunicationGroup -  InitialTopoReduce Reduce Operator Spec: [receiver=ControllerTask] [dataCodecClass=VertexListCodec] [reduceFunctionClass=VertexListReduceFunction]
2014-12-18 00:59:41,269 보다 미세 reef.io.network.nggroup.impl.driver.CommunicationGroupDriverImpl.addReduce main | CommunicationGroup - Adding reduce operator to tree topology: Reduce Operator Spec: [receiver=ControllerTask] [dataCodecClass=VertexListCodec] [reduceFunctionClass=VertexListReduceFunction]
2014-12-18 00:59:41,269 구성 reef.io.network.nggroup.impl.driver.TreeTopology.<init> main | CommunicationGroup:InitialTopoReduce - Tree Topology running with a fan-out of 2
2014-12-18 00:59:41,270 보다 미세 TreeTopology.setRootTask main | ENTRY CommunicationGroup:InitialTopoReduce -  ControllerTask
2014-12-18 00:59:41,270 보다 미세 TreeTopology.setRootTask main | RETURN CommunicationGroup:InitialTopoReduce - ControllerTask
2014-12-18 00:59:41,271 보다 미세 TreeTopology.setOperSpec main | ENTRY CommunicationGroup:InitialTopoReduce -  Reduce Operator Spec: [receiver=ControllerTask] [dataCodecClass=VertexListCodec] [reduceFunctionClass=VertexListReduceFunction]
2014-12-18 00:59:41,271 보다 미세 TreeTopology.setOperSpec main | RETURN CommunicationGroup:InitialTopoReduce - Reduce Operator Spec: [receiver=ControllerTask] [dataCodecClass=VertexListCodec] [reduceFunctionClass=VertexListReduceFunction]
2014-12-18 00:59:41,271 보다 미세 CommunicationGroupDriverImpl.addReduce main | RETURN [CommunicationGroup - , InitialTopoReduce,  added]
2014-12-18 00:59:41,273 보다 미세 CommunicationGroupDriverImpl.addReduce main | ENTRY CommunicationGroup -  MessageVectorReduce Reduce Operator Spec: [receiver=ControllerTask] [dataCodecClass=VectorListCodec] [reduceFunctionClass=VectorListReduceFunction]
2014-12-18 00:59:41,273 보다 미세 reef.io.network.nggroup.impl.driver.CommunicationGroupDriverImpl.addReduce main | CommunicationGroup - Adding reduce operator to tree topology: Reduce Operator Spec: [receiver=ControllerTask] [dataCodecClass=VectorListCodec] [reduceFunctionClass=VectorListReduceFunction]
2014-12-18 00:59:41,273 구성 reef.io.network.nggroup.impl.driver.TreeTopology.<init> main | CommunicationGroup:MessageVectorReduce - Tree Topology running with a fan-out of 2
2014-12-18 00:59:41,274 보다 미세 TreeTopology.setRootTask main | ENTRY CommunicationGroup:MessageVectorReduce -  ControllerTask
2014-12-18 00:59:41,274 보다 미세 TreeTopology.setRootTask main | RETURN CommunicationGroup:MessageVectorReduce - ControllerTask
2014-12-18 00:59:41,274 보다 미세 TreeTopology.setOperSpec main | ENTRY CommunicationGroup:MessageVectorReduce -  Reduce Operator Spec: [receiver=ControllerTask] [dataCodecClass=VectorListCodec] [reduceFunctionClass=VectorListReduceFunction]
2014-12-18 00:59:41,275 보다 미세 TreeTopology.setOperSpec main | RETURN CommunicationGroup:MessageVectorReduce - Reduce Operator Spec: [receiver=ControllerTask] [dataCodecClass=VectorListCodec] [reduceFunctionClass=VectorListReduceFunction]
2014-12-18 00:59:41,275 보다 미세 CommunicationGroupDriverImpl.addReduce main | RETURN [CommunicationGroup - , MessageVectorReduce,  added]
2014-12-18 00:59:41,282 가장 미세 reef.wake.impl.StageManager.register main | StageManager adds stage org.apache.reef.wake.impl.SingleThreadStage@155b1afd
2014-12-18 00:59:41,292 미세 reef.io.data.loading.api.ResourceRequestHandler.onNext SingleThreadStage<org.apache.reef.io.data.loading.api.ResourceRequestHandler> | Processing a request with count: 1 - Waiting for gate to be released
2014-12-18 00:59:41,293 미세 reef.wake.remote.impl.DefaultRemoteManagerImplementation.registerHandler main | RemoteManager: REEF_LAUNCHER remoteid: socket://192.168.0.11:17428 messageType: org.apache.reef.proto.ClientRuntimeProtocol$JobControlProto handler: org.apache.reef.runtime.common.driver.client.ClientManager
2014-12-18 00:59:41,294 보다 미세 reef.wake.remote.impl.HandlerContainer.registerHandler main | socket://192.168.0.11:17428 class org.apache.reef.proto.ClientRuntimeProtocol$JobControlProto
2014-12-18 00:59:41,295 미세 reef.runtime.common.driver.evaluator.EvaluatorResourceManagerErrorHandler.<init> main | Instantiated 'EvaluatorResourceManagerErrorHandler'
2014-12-18 00:59:41,298 미세 reef.runtime.common.driver.DriverStartHandler.<init> main | Instantiated `DriverStartHandler with StartHandler [[org.apache.reef.io.data.loading.api.DataLoader$StartHandler@1469c51]] and no RestartHandler
2014-12-18 00:59:41,299 보다 미세 reef.wake.time.runtime.RuntimeClock.run main | ENTRY
2014-12-18 00:59:41,300 미세 reef.wake.time.runtime.RuntimeClock.run main | Subscribe event handlers
2014-12-18 00:59:41,301 미세 reef.wake.time.runtime.RuntimeClock.run main | Initiate runtime start
2014-12-18 00:59:41,302 가장 미세 reef.wake.impl.PubSubEventHandler.onNext main | Invoked for event: org.apache.reef.wake.time.runtime.event.RuntimeStart[1418831981302]
2014-12-18 00:59:41,302 가장 미세 reef.wake.impl.PubSubEventHandler.onNext main | Invoking org.apache.reef.runtime.local.driver.ContainerManager$2@bead6b0
2014-12-18 00:59:41,305 가장 미세 reef.runtime.common.driver.catalog.ResourceCatalogImpl.handle main | Catalog new node: id[Node-1], rack[/default-rack], host[192.168.0.11], port[0], memory[512]
2014-12-18 00:59:41,307 가장 미세 reef.runtime.common.driver.catalog.ResourceCatalogImpl.handle main | Catalog new node: id[Node-2], rack[/default-rack], host[192.168.0.11], port[1], memory[512]
2014-12-18 00:59:41,308 가장 미세 reef.runtime.common.driver.catalog.ResourceCatalogImpl.handle main | Catalog new node: id[Node-3], rack[/default-rack], host[192.168.0.11], port[2], memory[512]
2014-12-18 00:59:41,308 가장 미세 reef.wake.impl.PubSubEventHandler.onNext main | Invoking org.apache.reef.runtime.common.driver.DriverRuntimeStartHandler@3879e379
2014-12-18 00:59:41,309 가장 미세 reef.runtime.common.driver.DriverRuntimeStartHandler.onNext main | RuntimeStart: org.apache.reef.wake.time.runtime.event.RuntimeStart[1418831981302]
2014-12-18 00:59:41,309 미세 reef.wake.remote.impl.DefaultRemoteManagerImplementation.registerHandler main | RemoteManager: REEF_LAUNCHER messageType: org.apache.reef.proto.EvaluatorRuntimeProtocol$EvaluatorHeartbeatProto handler: org.apache.reef.runtime.common.driver.evaluator.EvaluatorHeartbeatHandler
2014-12-18 00:59:41,310 보다 미세 reef.wake.remote.impl.HandlerContainer.registerHandler main | class org.apache.reef.proto.EvaluatorRuntimeProtocol$EvaluatorHeartbeatProto
2014-12-18 00:59:41,310 미세 reef.wake.remote.impl.DefaultRemoteManagerImplementation.registerHandler main | RemoteManager: REEF_LAUNCHER messageType: org.apache.reef.proto.ReefServiceProtos$RuntimeErrorProto handler: org.apache.reef.runtime.common.driver.evaluator.EvaluatorResourceManagerErrorHandler
2014-12-18 00:59:41,311 보다 미세 reef.wake.remote.impl.HandlerContainer.registerHandler main | class org.apache.reef.proto.ReefServiceProtos$RuntimeErrorProto
2014-12-18 00:59:41,312 보다 미세 reef.runtime.common.driver.DriverStatusManager.onRunning main | ENTRY
2014-12-18 00:59:41,312 보다 미세 reef.runtime.common.driver.DriverStatusManager.onInit main | ENTRY
2014-12-18 00:59:41,374 가장 미세 reef.runtime.common.driver.client.ClientConnection.send main | Sending:
identifier: "Pregel"
state: INIT

2014-12-18 00:59:41,375 미세 reef.wake.remote.impl.ProxyEventHandler.onNext main | remoteid: /192.168.0.11:17428
identifier: "Pregel"
state: INIT

2014-12-18 00:59:41,378 보다 미세 reef.runtime.common.driver.DriverStatusManager.onInit main | RETURN
2014-12-18 00:59:41,378 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.open org.apache.reef.wake.remote.impl.RemoteSenderStage-pool-6-thread-1 | No cached link for /192.168.0.11:17428 thread Thread[org.apache.reef.wake.remote.impl.RemoteSenderStage-pool-6-thread-1,5,main]
2014-12-18 00:59:41,380 가장 미세 reef.runtime.common.driver.client.ClientConnection.send main | Sending:
identifier: "Pregel"
state: RUNNING

2014-12-18 00:59:41,380 미세 reef.wake.remote.impl.ProxyEventHandler.onNext main | remoteid: /192.168.0.11:17428
identifier: "Pregel"
state: RUNNING

2014-12-18 00:59:41,381 보다 미세 reef.runtime.common.driver.DriverStatusManager.onRunning main | RETURN
2014-12-18 00:59:41,384 가장 미세 reef.runtime.common.driver.DriverRuntimeStartHandler.onNext main | DriverRuntimeStartHandler complete.
2014-12-18 00:59:41,384 미세 reef.wake.time.runtime.RuntimeClock.run main | Initiate start time
2014-12-18 00:59:41,385 가장 미세 reef.wake.impl.PubSubEventHandler.onNext main | Invoked for event: org.apache.reef.wake.time.event.StartTime[1418831981385]
2014-12-18 00:59:41,386 가장 미세 reef.wake.impl.PubSubEventHandler.onNext main | Invoking org.apache.reef.runtime.common.driver.DriverStartHandler@42c08a7e
2014-12-18 00:59:41,388 가장 미세 reef.wake.remote.transport.netty.NettyClientEventListener.channelActive org.apache.reef.wake.remote.transport.netty.NettyMessagingTransportClientWorker-pool-5-thread-1 | io.netty.channel.DefaultChannelHandlerContext@36a19624
2014-12-18 00:59:41,389 가장 미세 reef.wake.remote.impl.RemoteSenderEventHandler.setLink org.apache.reef.wake.remote.impl.RemoteSenderStage-pool-6-thread-1 | thread Thread[org.apache.reef.wake.remote.impl.RemoteSenderStage-pool-6-thread-1,5,main] link localAddr: /192.168.0.11:51173 remoteAddr: /192.168.0.11:17428
2014-12-18 00:59:41,390 미세 reef.wake.remote.transport.netty.NettyMessagingTransport.open org.apache.reef.wake.remote.impl.RemoteSenderStage-pool-6-thread-2 | Link null for /192.168.0.11:17428 found
2014-12-18 00:59:41,391 가장 미세 reef.wake.remote.impl.RemoteSenderEventHandler.consumeQueue org.apache.reef.wake.remote.impl.RemoteSenderStage-pool-6-thread-1 | RemoteEvent localAddr=/192.168.0.11:18472 remoteAddr=/192.168.0.11:17428 sourceName= sinkName=default seq=0 event=identifier: "Pregel"
state: INIT

2014-12-18 00:59:41,393 정보 reef.io.data.loading.api.DataLoader$StartHandler.onNext main | StartTime: org.apache.reef.wake.time.event.StartTime[1418831981385]
